Cikkszam;Tetel;Mennyiseg;Egysegar;Afa;Netto;AfaOsszeg;Brutto
E585440;Rajzlap blokk A4 / 15ív - 160g;3;668.2;0.27;2004.6;541.24;2545.84
169618;Aquarell blokk A4 / 10ív; 224g;5;802.3;0.27;4011.5;1083.11;5094.61
119065;Aquarell blokk A3 / 10ív; 224g;3;1372.7;0.27;4118.1;1111.89;5229.99
